kind,params,oct_rmsle,nov_rmsle,dec_rmsle,jan_rmsle,mean_rmsle,std_rmsle,worst_rmsle,worst_gap_vs_best_base,selection_score
convex,"{""l2"": 0.0, ""recency_factor"": 1.0}",1.7112055685921927,1.7313029280863208,1.7403162012115934,1.6733152210643847,1.714034979738623,0.025763292472885856,1.7403162012115934,0.002558816453142043,1.7235638953947614
convex,"{""l2"": 0.0001, ""recency_factor"": 1.0}",1.7112049671052918,1.731303296260566,1.7403165595430437,1.6733188813860098,1.7140359260737277,0.02576201576692137,1.7403165595430437,0.002562476774767175,1.7235651269471035
elastic,"{""alpha"": 0.1, ""l1_ratio"": 0.2, ""recency_factor"": 1.3}",1.7114201714312385,1.7330035155334176,1.73960975398916,1.6722460214096262,1.7140698655908606,0.02630125387115881,1.73960975398916,0.0014896167983835529,1.723573227805443
convex,"{""l2"": 0.001, ""recency_factor"": 1.0}",1.7112091376687413,1.7312943770916756,1.740310792417346,1.673382549200697,1.714049214094615,0.02573378037956696,1.740310792417346,0.0026261445894544266,1.7235812661453545
elastic,"{""alpha"": 0.01, ""l1_ratio"": 0.05, ""recency_factor"": 1.5}",1.7115254070316543,1.732341274811768,1.7392351926300116,1.6733405391500935,1.714110603405882,0.025653867853138036,1.7392351926300116,0.0025841345388508685,1.7236062840622506
elastic,"{""alpha"": 0.1, ""l1_ratio"": 0.05, ""recency_factor"": 1.3}",1.7114800896178464,1.7327316997844824,1.7395236828627514,1.6726875734299478,1.714105761423757,0.02605454259442731,1.7395236828627514,0.0019311688187051423,1.7236110850955475
positive_linear,"{""recency_factor"": 1.15}",1.7115359059911759,1.7321895863197183,1.7381602584707083,1.674859564860791,1.7141863289105983,0.024761288779934165,1.7381602584707083,0.0041031602495482655,1.723673412033485
elastic,"{""alpha"": 0.1, ""l1_ratio"": 0.05, ""recency_factor"": 1.5}",1.7114766601086107,1.7327586725331456,1.7398776723111342,1.6725701992013224,1.7141708010385532,0.026192654819122155,1.7398776723111342,0.001813794590079798,1.723700989143262
elastic,"{""alpha"": 0.1, ""l1_ratio"": 0.2, ""recency_factor"": 1.5}",1.711422158631879,1.733080099148664,1.7399612774112023,1.6720942551391047,1.7141394475827125,0.026460806130466814,1.7399612774112023,0.0015168201667064007,1.7237040937617172
convex,"{""l2"": 0.01, ""recency_factor"": 1.0}",1.7112078090749459,1.7312162123163735,1.7403056600724356,1.6739961587000656,1.714181460040955,0.02547723324997939,1.7403056600724356,0.0032397540888229326,1.7237464424962123
convex,"{""l2"": 0.0, ""recency_factor"": 1.15}",1.7111989642745014,1.731327699513645,1.7403212846838678,1.6740142232354625,1.7142155429268693,0.025493045656757293,1.7403212846838678,0.0032578186242198104,1.7237896726315782
positive_linear,"{""recency_factor"": 1.3}",1.7115432190110729,1.7321969600634828,1.738421067730591,1.6749815053106263,1.7142856880289432,0.024777359295871347,1.738421067730591,0.004225100699383644,1.7238027839223748
convex,"{""l2"": 0.0001, ""recency_factor"": 1.15}",1.7111983998422,1.7313280053501579,1.7403213695832378,1.674061724823692,1.7142273748998218,0.025474409984702812,1.7403213695832378,0.0033053202124493364,1.7238044824369576
convex,"{""l2"": 0.001, ""recency_factor"": 1.15}",1.7112020547143807,1.7313192771554131,1.7403161848288595,1.674170450274933,1.7142519917433967,0.025428657430646286,1.7403161848288595,0.0034140456636904126,1.723834830976861
convex,"{""l2"": 0.01, ""recency_factor"": 1.15}",1.7112006566926146,1.7312347607762237,1.7403055309912159,1.6745319610690568,1.714318227382278,0.025269424632761266,1.7403055309912159,0.003775556457814133,1.7239176372953073
positive_linear,"{""recency_factor"": 1.5}",1.7115525234114597,1.7322078124019116,1.7387656569967418,1.6750298049122483,1.7143889494305904,0.024844130690839863,1.7387656569967418,0.004273400301005648,1.7239390752325856
ridge,"{""alpha"": 1000.0, ""recency_factor"": 1.0}",1.7115765897074557,1.7323281524166452,1.737769349527027,1.676030191614254,1.7144260708163455,0.024226825364045697,1.737769349527027,0.005273787003011288,1.7239602170943638
convex,"{""l2"": 0.1, ""recency_factor"": 1.0}",1.7115113566276874,1.7307237524461803,1.7402759381659585,1.67509162717568,1.7144006686038766,0.024947552498856017,1.7402759381659585,0.004335222564437302,1.7239993564913638
convex,"{""l2"": 0.0, ""recency_factor"": 1.3}",1.7111934516386558,1.7313486505424736,1.740330598507882,1.6747833878734544,1.7144140221406166,0.02519627857683033,1.740330598507882,0.004026983262211736,1.7240381162949496
