fold,valid_cutoff,epoch,lr,train_loss,train_main_mse,train_rmsle_proxy,rmsle,direct_rmsle,hurdle_rmsle,gate_bce,gate_auc,true_nonzero_rate,pred_nonzero_rate,positive_rmse,hurdle_weight,user_scale
1,2025-11-15,11,0.00014660629787682203,3.3358905258420246,3.029301788434535,1.7404889509659447,1.732326626777649,1.7362077236175537,1.7341371774673462,0.4776497781276703,0.8509096862195111,0.5694354176521301,0.5744364857673645,1.1176778078079224,0.5693378448486328,0.0
1,2025-11-15,12,0.0001378115294937453,3.332515207591687,3.026646962283138,1.7397261170319707,1.731682538986206,1.7368519306182861,1.7325876951217651,0.47662946581840515,0.8509106640098835,0.5694354176521301,0.5770925879478455,1.1182466745376587,0.567965030670166,0.0
1,2025-11-15,13,0.00012871205217359835,3.330520030371786,3.025150719567036,1.739296041381983,1.732344150543213,1.736950397491455,1.7335281372070312,0.4770236313343048,0.8510554643799257,0.5694354176521301,0.5761593580245972,1.1207095384597778,0.5666959285736084,0.0
1,2025-11-15,14,0.00011940756169408884,3.328192325991812,3.0233081475168344,1.7387662716756482,1.7323957681655884,1.7367022037506104,1.7344423532485962,0.4771973192691803,0.8511461662617779,0.5694354176521301,0.5721721649169922,1.1180710792541504,0.5654943585395813,0.0
1,2025-11-15,15,0.00011000000000000004,3.3255231540045003,3.0212132804497016,1.7381637668671217,1.7330533266067505,1.7371325492858887,1.73458731174469,0.4772804379463196,0.8511188573133521,0.5694354176521301,0.5686613321304321,1.1183946132659912,0.5645512938499451,0.0
1,2025-11-15,16,0.00010059243830591122,3.3239291465895016,3.019882536689902,1.7377809230998889,1.7311557531356812,1.7351043224334717,1.7331757545471191,0.4778655171394348,0.8510887543771883,0.5694354176521301,0.5801352262496948,1.1162306070327759,0.5633645057678223,0.0
1,2025-11-15,17,9.128794782640167e-05,3.319773641137869,3.0163316407161265,1.7367589472106157,1.733376145362854,1.739802598953247,1.7328016757965088,0.4758727550506592,0.8511959980283434,0.5694354176521301,0.5728028416633606,1.1222795248031616,0.5623515248298645,0.0
1,2025-11-15,18,8.218847050625476e-05,3.3201981122798205,3.0168663461800094,1.7369128781202612,1.732165813446045,1.7380679845809937,1.73222815990448,0.47581747174263,0.8514217037558197,0.5694354176521301,0.5751352310180664,1.1211713552474976,0.5616521239280701,0.0
1,2025-11-15,19,7.339370212317802e-05,3.319533582763047,3.016317428272111,1.736754855548736,1.7317537069320679,1.7359845638275146,1.7331020832061768,0.4769495725631714,0.8514253421988793,0.5694354176521301,0.569242537021637,1.117266058921814,0.5608379244804382,0.0
1,2025-11-15,20,6.500000000000003e-05,3.316626891545605,3.0139543284701027,1.7360744017668432,1.7319936752319336,1.7375556230545044,1.7323133945465088,0.47658854722976685,0.8512935192980673,0.5694354176521301,0.5773242712020874,1.1209276914596558,0.5602330565452576,0.0
